classification,Coin,total_pnl,average_pnl,total_trades,win_rate
Extreme Fear,@10,-0.063484,-0.031742,2,0.0
Extreme Fear,@107,-136085.3683,-89.5887875576037,1519,24.753127057274522
Extreme Fear,@13,-0.12379,-0.061895,2,0.0
Extreme Fear,@142,1257.8761650000001,15.529335370370372,81,55.55555555555556
Extreme Fear,@16,-0.060429,-0.0302145,2,0.0
Extreme Fear,@26,-0.25801799999999997,-0.032252249999999996,8,0.0
Extreme Fear,@29,-0.078374,-0.0195935,4,0.0
Extreme Fear,@35,67.028127,33.5140635,2,100.0
Extreme Fear,@38,33.271993,33.271993,1,100.0
Extreme Fear,@39,12.238556,12.238556,1,100.0
Extreme Fear,@4,-1104.856765,-13.8107095625,80,0.0
Extreme Fear,@40,16.748319,16.748319,1,100.0
Extreme Fear,@41,36.73844,36.73844,1,100.0
Extreme Fear,@47,50.313458,25.156729,2,100.0
Extreme Fear,@49,-40.712216999999995,-10.178054249999999,4,0.0
Extreme Fear,@51,0.0,0.0,26,0.0
Extreme Fear,@8,51.56325,1.4323124999999999,36,13.88888888888889
Extreme Fear,AAVE,0.0,0.0,14,0.0
Extreme Fear,ADA,-31317.986797999998,-182.08131859302324,172,0.5813953488372093
Extreme Fear,AI,0.0,0.0,5,0.0
Extreme Fear,AI16Z,1782.014616,99.000812,18,50.0
Extreme Fear,AIXBT,0.0,0.0,18,0.0
Extreme Fear,ANIME,12.67558,4.225193333333333,3,33.33333333333333
Extreme Fear,APE,7.764197,0.7764197,10,30.0
Extreme Fear,APT,0.0,0.0,13,0.0
Extreme Fear,ARB,148.265679,14.8265679,10,80.0
Extreme Fear,AVAX,433.644636,10.324872285714285,42,54.761904761904766
Extreme Fear,BERA,12090.904233,64.31332038829787,188,46.808510638297875
Extreme Fear,BNB,503.31943,22.87815590909091,22,18.181818181818183
Extreme Fear,BTC,3056.840312999999,1.7319208572237954,1765,30.76487252124646
Extreme Fear,DOGE,0.0,0.0,2,0.0
Extreme Fear,DYDX,0.0,0.0,50,0.0
Extreme Fear,ENA,2286.628954,120.34889231578946,19,26.31578947368421
Extreme Fear,ETH,274320.23069,196.92766022254128,1393,55.70710696338838
Extreme Fear,FARTCOIN,-138014.106207,-244.27275434867258,565,9.20353982300885
Extreme Fear,FTT,854.609006,37.156913304347825,23,56.52173913043478
Extreme Fear,GMT,4.634472,1.544824,3,33.33333333333333
Extreme Fear,GMX,622.41079,47.87775307692308,13,46.15384615384615
