classification,Side,total_trades,total_pnl,average_pnl,win_rate
Extreme Fear,BUY,10935,373043.441701,34.11462658445359,20.16460905349794
Extreme Fear,SELL,10465,366066.806789,34.9801057610129,54.71571906354515
Extreme Greed,BUY,17940,188350.754579,10.498927234057971,31.14269788182832
Extreme Greed,SELL,22052,2526820.556094,114.58464339261745,58.98331217123164
Fear,BUY,30270,1935073.439058,63.92710403230922,26.29996696399075
Fear,SELL,31567,1422082.002584,45.04964052916019,57.205309342034404
Greed,BUY,24576,614456.584204,25.002302417154947,31.807454427083332
Greed,SELL,25727,1535672.688747,59.6910906342364,44.859486142962645
Neutral,BUY,18969,554415.09155,29.227428517581316,24.00231957404186
Neutral,SELL,18717,738505.584,39.45640775765347,55.60720200886894
